year, month, day, q_00, q_00, q_00, q_00, q_00
51.0, 5.0, 5.0, 1.0, 1.1, 1.3, 1.4, 1.6
51.0, 5.0, 6.0, 0.8, 1.0, 1.1, 1.2, 1.4
51.0, 5.0, 7.0, 0.9, 1.0, 1.1, 1.2, 1.4
51.0, 5.0, 8.0, 0.9, 1.0, 1.1, 1.2, 1.4
51.0, 5.0, 9.0, 0.9, 1.0, 1.1, 1.2, 1.3
51.0, 5.0, 10.0, 0.8, 0.9, 1.0, 1.1, 1.2
51.0, 5.0, 11.0, 0.9, 0.9, 1.0, 1.1, 1.2
51.0, 5.0, 12.0, 0.9, 1.0, 1.0, 1.1, 1.2
51.0, 5.0, 13.0, 0.8, 0.9, 1.0, 1.1, 1.2
51.0, 5.0, 14.0, 0.9, 1.0, 1.1, 1.2, 1.4
51.0, 5.0, 15.0, 1.0, 1.1, 1.2, 1.3, 1.4
51.0, 5.0, 16.0, 1.0, 1.1, 1.2, 1.3, 1.4
51.0, 5.0, 17.0, 0.8, 0.9, 1.0, 1.1, 1.2
51.0, 5.0, 18.0, 0.9, 0.9, 1.0, 1.2, 1.3
51.0, 5.0, 19.0, 0.9, 1.0, 1.1, 1.2, 1.4
51.0, 5.0, 20.0, 0.9, 1.0, 1.1, 1.2, 1.3
51.0, 5.0, 21.0, 0.9, 1.0, 1.1, 1.2, 1.3
51.0, 5.0, 22.0, 0.9, 1.0, 1.1, 1.2, 1.3
51.0, 5.0, 23.0, 0.9, 1.0, 1.1, 1.1, 1.2
51.0, 5.0, 24.0, 1.0, 1.1, 1.2, 1.3, 1.4
51.0, 5.0, 25.0, 0.9, 1.0, 1.1, 1.2, 1.3
51.0, 5.0, 26.0, 1.0, 1.1, 1.1, 1.2, 1.3
51.0, 5.0, 27.0, 0.9, 1.0, 1.1, 1.2, 1.2
51.0, 5.0, 28.0, 0.9, 0.9, 1.0, 1.1, 1.2
51.0, 5.0, 29.0, 0.9, 1.0, 1.0, 1.1, 1.2
51.0, 5.0, 30.0, 0.8, 0.9, 1.0, 1.0, 1.1
51.0, 5.0, 31.0, 0.8, 0.9, 0.9, 1.0, 1.1
51.0, 6.0, 1.0, 0.8, 0.9, 0.9, 1.0, 1.1
51.0, 6.0, 2.0, 0.8, 0.8, 0.9, 1.0, 1.0
51.0, 6.0, 3.0, 0.7, 0.8, 0.9, 0.9, 1.0
51.0, 6.0, 4.0, 0.7, 0.8, 0.8, 0.9, 0.9
51.0, 6.0, 5.0, 0.8, 0.9, 1.0, 1.1, 1.2
51.0, 6.0, 6.0, 0.8, 0.9, 1.0, 1.1, 1.2
51.0, 6.0, 7.0, 0.9, 0.9, 1.0, 1.1, 1.2
51.0, 6.0, 8.0, 0.8, 0.9, 1.0, 1.1, 1.2
51.0, 6.0, 9.0, 0.9, 1.0, 1.1, 1.2, 1.3
51.0, 6.0, 10.0, 1.0, 1.1, 1.3, 1.4, 1.6
51.0, 6.0, 11.0, 1.0, 1.1, 1.2, 1.3, 1.5
51.0, 6.0, 12.0, 1.0, 1.1, 1.2, 1.3, 1.4
51.0, 6.0, 13.0, 1.0, 1.1, 1.2, 1.3, 1.4
51.0, 6.0, 14.0, 1.0, 1.1, 1.2, 1.3, 1.5
51.0, 6.0, 15.0, 1.0, 1.0, 1.1, 1.2, 1.4
51.0, 6.0, 16.0, 1.0, 1.1, 1.2, 1.3, 1.4
51.0, 6.0, 17.0, 0.9, 1.0, 1.1, 1.2, 1.3
51.0, 6.0, 18.0, 0.8, 0.9, 1.0, 1.1, 1.2
51.0, 6.0, 19.0, 0.9, 1.0, 1.0, 1.1, 1.2
51.0, 6.0, 20.0, 0.9, 0.9, 1.0, 1.1, 1.2
51.0, 6.0, 21.0, 0.8, 0.9, 1.0, 1.0, 1.1
51.0, 6.0, 22.0, 0.9, 0.9, 1.0, 1.1, 1.2
51.0, 6.0, 23.0, 0.8, 0.8, 0.9, 1.0, 1.1
51.0, 6.0, 24.0, 0.8, 0.9, 1.0, 1.0, 1.1
51.0, 6.0, 25.0, 0.8, 0.9, 0.9, 1.0, 1.1
51.0, 6.0, 26.0, 0.8, 0.8, 0.9, 1.0, 1.1
51.0, 6.0, 27.0, 0.7, 0.8, 0.9, 0.9, 1.0
51.0, 6.0, 28.0, 0.8, 0.8, 0.9, 1.0, 1.1
51.0, 6.0, 29.0, 0.8, 0.9, 0.9, 1.0, 1.1
51.0, 6.0, 30.0, 0.8, 0.9, 0.9, 1.0, 1.1
51.0, 7.0, 1.0, 0.7, 0.8, 0.8, 0.9, 1.0
51.0, 7.0, 2.0, 0.7, 0.7, 0.8, 0.8, 0.9
51.0, 7.0, 3.0, 0.6, 0.7, 0.7, 0.8, 0.9
